sequence_id,speaker_id,sequence_index,utterance_ids,window_files,labels,sequence_label,escalation_label,split
seq_000000,10,0,"[""10_03-01-01-01-01-01-10"", ""10_03-01-01-01-01-02-10"", ""10_03-01-01-01-02-01-10"", ""10_03-01-01-01-02-02-10""]","[""data/processed/audio/train/10_03-01-01-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-01-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-01-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-01-01-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000001,10,1,"[""10_03-01-01-01-01-02-10"", ""10_03-01-01-01-02-01-10"", ""10_03-01-01-01-02-02-10"", ""10_03-01-02-01-01-01-10""]","[""data/processed/audio/train/10_03-01-01-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-01-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-01-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-01-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000002,10,2,"[""10_03-01-01-01-02-01-10"", ""10_03-01-01-01-02-02-10"", ""10_03-01-02-01-01-01-10"", ""10_03-01-02-01-01-02-10""]","[""data/processed/audio/train/10_03-01-01-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-01-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-01-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000003,10,3,"[""10_03-01-01-01-02-02-10"", ""10_03-01-02-01-01-01-10"", ""10_03-01-02-01-01-02-10"", ""10_03-01-02-01-02-01-10""]","[""data/processed/audio/train/10_03-01-01-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-02-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000004,10,4,"[""10_03-01-02-01-01-01-10"", ""10_03-01-02-01-01-02-10"", ""10_03-01-02-01-02-01-10"", ""10_03-01-02-01-02-02-10""]","[""data/processed/audio/train/10_03-01-02-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000005,10,5,"[""10_03-01-02-01-01-02-10"", ""10_03-01-02-01-02-01-10"", ""10_03-01-02-01-02-02-10"", ""10_03-01-02-02-01-01-10""]","[""data/processed/audio/train/10_03-01-02-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-01-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000006,10,6,"[""10_03-01-02-01-02-01-10"", ""10_03-01-02-01-02-02-10"", ""10_03-01-02-02-01-01-10"", ""10_03-01-02-02-01-02-10""]","[""data/processed/audio/train/10_03-01-02-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-01-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000007,10,7,"[""10_03-01-02-01-02-02-10"", ""10_03-01-02-02-01-01-10"", ""10_03-01-02-02-01-02-10"", ""10_03-01-02-02-02-01-10""]","[""data/processed/audio/train/10_03-01-02-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-02-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000008,10,8,"[""10_03-01-02-02-01-01-10"", ""10_03-01-02-02-01-02-10"", ""10_03-01-02-02-02-01-10"", ""10_03-01-02-02-02-02-10""]","[""data/processed/audio/train/10_03-01-02-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000009,10,9,"[""10_03-01-02-02-01-02-10"", ""10_03-01-02-02-02-01-10"", ""10_03-01-02-02-02-02-10"", ""10_03-01-03-01-01-01-10""]","[""data/processed/audio/train/10_03-01-02-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-01-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
